pos_error,yaw_error
3.134,1.25574
0.08826,0.0478688
0.08826,0.0478687
0.0882627,0.0478682
0.088274,0.0478644
0.0882925,0.0478609
0.0883187,0.047858
0.0883528,0.0478558
0.0883949,0.047854
0.0884453,0.0478526
0.0885038,0.0478516
0.0885705,0.0478507
0.0886455,0.0478501
0.0887287,0.0478495
0.0888202,0.0478491
0.08892,0.0478487
0.089028,0.0478483
0.0891442,0.047848
0.0892687,0.0478477
0.0894015,0.0478474
0.0895425,0.0478472
0.0896917,0.0478469
0.0898492,0.0478467
0.090015,0.0478465
0.090189,0.0478462
0.0903712,0.047846
0.0905617,0.0478458
0.0907604,0.0478455
0.0909673,0.0478453
0.0911825,0.0478451
0.091406,0.0478449
0.0916376,0.0478446
0.0918775,0.0478444
0.0921256,0.0478442
0.092382,0.047844
0.0926466,0.047844
0.0929194,0.0478435
0.0932005,0.0478433
0.0934897,0.0478431
0.0937872,0.0478428
0.094093,0.0478426
0.0944069,0.0478424
0.0947291,0.0478422
0.0950595,0.047842
0.0953973,0.0478421
0.0957383,0.0478435
0.0960809,0.0478449
0.0964245,0.0478462
0.0967687,0.0478471
0.0971133,0.0478478
0.0974581,0.0478482
0.097803,0.0478485
0.098148,0.0478488
0.0984931,0.0478488
0.0988382,0.0478489
0.0991834,0.0478489
0.0995286,0.0478489
0.0998738,0.0478489
0.100219,0.0478489
0.100564,0.0478489
0.10091,0.0478488
0.101255,0.0478488
0.101601,0.0478488
0.101946,0.0478487
0.102291,0.0478487
0.102637,0.0478486
0.102982,0.0478486
0.103328,0.0478485
0.103674,0.0478485
0.104019,0.0478484
0.104365,0.0478484
0.10471,0.0478483
0.105056,0.0478483
0.105402,0.0478482
0.105747,0.0478482
0.106093,0.0478481
0.106439,0.0478481
0.106785,0.047848
0.10713,0.047848
0.107476,0.0478479
0.107822,0.0478478
0.108168,0.0478478
0.108514,0.0478477
0.10886,0.0478477
0.109206,0.0478476
0.109552,0.0478476
0.109898,0.0478475
0.110244,0.0478475
0.11059,0.0478474
0.110936,0.0478474
0.111282,0.0478473
0.111628,0.0478473
0.111974,0.0478472
0.11232,0.0478472
0.112666,0.0478471
0.113012,0.0478471
0.113358,0.047847
0.113704,0.047847
0.114051,0.0478469
0.114397,0.0478469
0.114743,0.0478468
0.115089,0.0478468
0.115435,0.0478468
0.115782,0.0478467
0.116128,0.0478467
0.116474,0.0478466
0.116821,0.0478466
0.117167,0.0478465
0.117513,0.0478465
0.11786,0.0478464
0.118206,0.0478464
0.118552,0.0478463
0.118899,0.0478463
0.119245,0.0478462
0.119592,0.0478462
0.119938,0.0478461
0.120285,0.0478461
0.120631,0.047846
0.120978,0.047846
0.121324,0.0478459
0.121671,0.0478459
0.122017,0.0478459
0.122364,0.0478457
0.12271,0.0478457
0.123057,0.0478457
0.123403,0.0478456
0.12375,0.0478456
0.124097,0.0478455
0.124443,0.0478455
0.12479,0.0478454
0.125136,0.0478454
0.125483,0.0478453
0.12583,0.0478453
0.126176,0.0478452
0.126523,0.0478452
0.12687,0.0478451
0.127217,0.0478451
0.127563,0.0478453
0.12791,0.047845
0.128257,0.047845
0.128604,0.0478449
0.12895,0.0478449
0.129297,0.0478448
0.129644,0.0478448
0.129991,0.0478447
0.130337,0.0478447
0.130684,0.0478446
0.131031,0.0478446
0.131378,0.0478445
0.131725,0.0478445
0.132072,0.0478444
0.132418,0.0478444
0.132765,0.0478444
0.133112,0.0478443
0.133459,0.0478443
0.133806,0.0478442
0.134153,0.0478442
0.1345,0.0478441
0.134847,0.0478441
0.135194,0.047844
0.135541,0.047844
0.135888,0.0478439
0.136235,0.0478439
0.136582,0.0478438
0.136929,0.0478438
0.137276,0.0478437
0.137623,0.0478437
0.13797,0.0478436
0.138317,0.0478436
0.138664,0.0478436
0.139011,0.0478435
0.139358,0.0478435
0.139705,0.0478434
0.140052,0.0478434
0.140399,0.0478433
0.140746,0.0478433
0.141093,0.0478432
0.14144,0.0478432
0.141787,0.0478431
0.142134,0.0478431
0.142481,0.047843
0.142828,0.047843
0.143176,0.0478429
0.143523,0.0478429
0.14387,0.0478429
0.144217,0.0478428
0.144564,0.0478428
0.144911,0.0478427
